smiles,score
c1(oc2c(c1C)ccc(c2)C)C(=O)NCc1nc2c(o1)ccc(c2)OC,-8.4
c1(c(=O)oc2c(c1)cccc2OC)C(=O)Nc1c(C)cccc1,-8.5
n1(nc2c(n1)cc(c(c2)NC(=O)c1oc(c2c([N+](=O)[O-])cccc2)cc1)C)c1ccccc1,-7.3
c1(cc(nc2c1cccc2)c1ccccc1)C(=O)NCc1ccc(cc1)C,-8.9
c1(sc(nn1)CC)NC(=O)CCN1CCC(C(c2n(ccn2)C)O)CC1,-7.8
N(C(=S)Nc1ccc(C(=O)NCCOC)cc1)C(=O)c1sccc1,-7.2
N1([C@@H]2[C@@H]([C@@](CC1)(c1ccccc1)O)CCCC2)Cc1nccnc1C,-7.0
c1(nnn(c1)CC(=O)N(CC)CC)C(=O)N(Cc1n2c(nc1)cccc2)C,-7.7
c1(oc(cc1)COc1c(cc(cc1)CCC)OC)C(=O)NCCC,-7.1
n1[nH]c2c(c1CCC(=O)NCC1(c3ccccc3)CCOCC1)CCCC2,-7.6
[C@H]12[C@](CCN(C1)C(=O)COC)(CCN(C2)Cc1cc(c(cc1)F)F)O,-8.4
c1(nc(on1)CN(C(=O)Nc1ccc(Cl)cc1)CC)c1sccc1,-7.4
c1(c([nH]cc(c1=O)C)CN1CC(N(CC2CCCCC2)CC1)CCO)C,-7.4
c1(C(=O)N(CC2OCCCC2)C)ncc(cc1F)F,-6.8
c1(sc(nn1)N)C12CC3CC(C1)CCC(C2)C3,-7.0
N1(C(=O)CCC2(C1)CCN(C(=O)CCC(F)(F)F)CC2)Cc1cnccc1,-7.3
c1(noc(c1)COc1c(cc(cc1)F)F)C(=O)NC1C2CC3CC1CC(C2)C3,-8.8
C(=S)(Nc1c(cc(cc1)C)C)c1ncccc1,-6.6
c1(c(c2c(s1)CC(CC2)C)C(=O)OC)NC(=O)C1C2C=CC(C1C(=O)O)C2,-8.4
n1c(nnn1C)c1ccc(C(=O)N2CC3(CC2)CCN(CC3)C)cc1,-9.0
c1(C(=O)N2CC(Cc3ccc(cc3)CO)CC2)cn(nc1)Cc1ccccc1,-7.8
c1(c2c(ccc1O)cccc2)/C=N/NC(=O)c1ccncc1,-8.0
C(=O)(N1CCN(Cc2ncccc2C)CC1)[C@@H](NC(=O)C)Cc1nc[nH]c1,-7.4
c1(nc2c(s1)CCCC2)NC(=O)c1c2c(nc(c3c(ccc(c3)OC)OC)c1)ccc(c2)Cl,-8.0
c1(sc2c(c1Cl)cccc2)C(=O)Nc1ncc(s1)Cc1cc([N+](=O)[O-])ccc1,-8.1
S(=O)(=O)(c1ccc(C(=O)N2CCN(c3ccc(cc3)F)CC2)cc1)N(C)C,-8.2
n1(c(nnc1SCC(=O)Nc1cc2c(OCO2)cc1)c1cnccc1)c1ccccc1,-8.6
N1/C(=N\N=C\c2cc(OC)ccc2)/SC(C1=O)CC(=O)O,-8.0
C1(c2c(NC(C1)C)cccc2)N(C(=O)CCC)c1ccccc1,-7.3
S(=O)(=O)(N(c1c(OCC)cccc1)CC(=O)NCCCOC(C)C)c1ccc(SC)cc1,-7.3
C(=O)(c1c2c(ccc1)cccc2)NCC1CN(Cc2oc(cc2)CO)CCC1,-7.4
c1(C(=O)N2CC(CCc3ccccc3)(CO)CCC2)cc(no1)C(C)C,-8.6
c1(c(c2c(s1)cccc2Cl)Cl)C(=O)Nc1cc(c(cc1)C)Cl,-7.5
S(=O)(=O)(Nc1c(cc(C(=O)Nc2cc(ccc2)C)cc1)C)C,-8.3
c1(n(ccn1)CC1CCC1)C1CN(C(=O)CCc2cc(OC)ccc2)CCC1,-7.9
c1(nn(c(c1)c1sccc1)C)C(=O)NCc1nc(sc1)N(C)C,-7.1
o1c(nnc1SCc1cc(C#N)ccc1)c1ccncc1,-8.5
N1(C(=O)N(C(C1=O)CC(=O)Nc1ccc(F)cc1)CCOC)c1cc(ccc1)C,-8.2
S(=O)(=O)(Nc1c2c(ccc1)cccc2)c1c(cc(cc1)C)C,-7.9
n1c(n(nc1)C)CCNC(=O)[C@@H]1C[C@@H](O)CCC1,-7.2
c1c(N2CC(OCC2)CCNC(=O)c2cc(NC(=O)CC)ccc2)cnn(c1=O)C,-9.3
c1(c(nn(c1)C)C)CN1CCC2(CN(C(=O)CC2)CCN(C)C)CC1,-7.1
n1c(noc1CC(C)C)CN(C(=O)C(Nc1cc(OC)ccc1)CC)CC,-7.3
S(=O)(=O)(c1cc(ccc1Cl)Cl)N1CCC(C(=O)Nc2cc(C(=O)C)ccc2)CC1,-8.5
c1(C(=O)N2CCN(c3nc(nc(c3)N3CCOCC3)C)CC2)c(ccc(c1)Cl)OC,-7.9
n1(c(nnc1S)c1cnccc1)/N=C/c1c(c(OCC)ccc1)O,-6.9
C(=O)(Nc1c(c(Cl)ccc1)C)C(Oc1ccc(cc1)OC)C,-7.6
C(=O)(NNC(=O)CCc1ccccc1)COc1ccc(Cl)cc1,-7.4
S(=O)(=O)(N1CCC2(CC(CN(C2)C)c2ccccc2)CC1)N(C)C,-6.7
c1(nc(cc(n1)C)C)SCC(=O)Nc1c(ccc(c1)C)C,-6.8
C(=C(\Nc1ccc(cc1)C)/C)/C(=O)c1ccc(cc1)OC,-8.3
c1(n(nnn1)C)SCCNC(=O)C1N(Cc2ccccc2)CCCC1,-7.1
c1(nc(cc(n1)c1ccc(cc1)C)c1ccccc1)N/N=C/c1ccccc1,-8.2
c12c(oc(c(c1=O)c1ccc(cc1)OC)NC(=O)C(C)C)c1c(s2)cccc1,-8.5
N1(C(=O)[C@@]23N([C@H](c4n(c5cc(ccc5)C)ccn4)C[C@H]2C1)CCC3)c1c(OC)cccc1,-8.0
[n+]1(c(c(=O)n(c2c1cccc2)OCc1cc(ccc1)C)c1ccccc1)[O-],-8.4
N(C(=O)C)(c1ccc(CC2Cc3c(OC2)cccc3)cc1)C,-7.8
c1(sc2c(c1)CC(CC2)C)C(=O)N(Cc1c(n(nc1)C)C)C,-7.3
N1(C(=O)CCc2c(OC)cccc2)CC(C1)Oc1cc(OC)ccc1,-7.3
c1(C(=O)N2CC(=O)N(CC2)C2CCCC2)cc(sc1)CC,-7.0
n1(nc2c(n1)cc(c(c2)NC(=O)COc1cc(ccc1)C)C)c1ccc(cc1)Cl,-7.8
N1(CC(c2cc3c(cc(cc3)OC)cc2)OCC1)CCC(=O)NC(C)C,-8.7
c1(onc(c1)CC)CN(C(=O)CC(=O)Nc1c(C)cccc1)C,-7.6
S(=O)(=O)(c1cc2nc(n(c2cc1)C)CCC(=O)NCC(=O)N)N1CCCC1,-8.0
C(=O)(Nc1cnccc1)c1cc(CN(C(Cc2ncccc2)C)C)ccc1,-7.4
n12c(=NCN(C2)c2ccc(C(=O)C)cc2)s/c(=C\c2cc(c(cc2)OC)OC)/c1=O,-8.2
S(=O)(=O)(N(CC(=O)NCc1ccc(cc1)C(C)C)c1ccc(cc1)OCC)c1ccccc1,-8.7
C1(c2c(OC(C1)(C)C)cccc2)NC(=O)CN(Cc1cnccc1)C,-7.4
N1(C(=O)c2c(C1=O)cccc2)C(C(=O)Nc1c(ccc(c1)C)C)CCCC,-7.4
c1(c(=O)n(c2c(c1)cccc2)C)CN1CCN(c2nc(cnc2C)C)CC1,-7.8
c1(c(c(c(s1)C(=O)Nc1c(cc(cc1)C)C)C)C(=O)OCC)NC(=O)COc1ccccc1,-7.2
c1(noc2c1CCCC2)CN(C(=O)Cn1c(=O)c(ccc1)OC)C,-7.6
N1(N=C2C(C1c1ccccc1)COC(C2)(C)C)C(=O)c1occc1,-7.1
N1(N=C(CC1c1sccc1)c1ccccc1)C(=O)c1sccc1,-7.3
N1=C(S/C(=C\c2c(cc(cc2)Cl)Cl)/C1=O)N1CCN(C2=NC(=O)/C(=C\c3c(cc(cc3)Cl)Cl)/S2)CC1,-5.1
N1(C2Cc3c(CC2)cccc3)CCC(Oc2c(cc(C(=O)NCCOC)cc2)Cl)CC1,-8.1
c1(nc2c(s1)cccc2)c1c(cc(NC(=O)c2ccc(cc2)OC)cc1)O,-7.7
S(=O)(=O)(N(CC(=O)N1CCN(c2cc(Cl)ccc2)CC1)c1ccc(OCc2ccccc2)cc1)C,-8.1
n1nc(c(s1)CNC(=O)CCCOc1ccccc1)C,-7.1
S(=O)(=O)(c1cc(ccc1OCC)OCC)NCc1ccncc1,-7.3
S(=O)(=O)(c1sc(cc1)C)NC([C@H]1C[C@H](C1)O)c1cc2c(OCC2)cc1,-8.5
S1(=O)(=O)CC(N(C(=O)c2cc([N+](=O)[O-])c(cc2)NC)C)(CC1)C,-7.6
c1(nc([nH]c(=O)c1)N)[C@@H]1C[C@H](NC(=O)c2oc(cc2)c2ccc(cc2)OC)C1,-9.2
S(=O)(=O)(c1c(C(=O)OC)scc1)N1CCC(c2ncc(cc2)C)(CC1)O,-7.9
c1(c2c(oc1)cc(cc2C)C)CC(=O)Oc1cc(cc(c1)C)C,-7.8
c1(ncc(CN2CC(C#N)CCC2)cn1)c1occc1,-7.0
n1(c(=O)c(c(cn1)N1CCCCC1)Cl)C(C(=O)Nc1c(C)cccc1)C,-7.5
c1(=O)[nH]c(=O)ccn1CC(=O)NC([C@H]1C[C@H](C1)O)c1cnc(cc1)OC,-7.6
c1(n(ccn1)CCCNC(=O)Nc1ccc(C(=O)OC)cc1)C(C)C,-7.5
n1c(n(nc1C1CCCC1)CCO)CC1N(C(C)C)CCNC1=O,-7.0
n1c([nH]cc1C)CNC(=O)CSc1ncccc1,-7.6
n1(c(ncc1)CC)CCCNC(=O)Nc1c(cc(c(c1)C)F)Cl,-7.5
[nH]1c(=O)c(n[nH]c1=O)CC(=O)N/N=C/c1c[nH]c2c1cccc2,-8.3
n1(nc(c2c(c1=O)cccc2)C)CC(=O)N1CC2(OC(=O)NC2)CCC1,-8.7
C1(=O)N(Cc2cc(ccc2)C)CCN(C1C)Cc1cc(no1)c1cnccc1,-8.4
N1(C(=O)N(C2(C1=O)CCN(CC2)CC(C)C)CCc1ccccc1)CC,-7.2
C(=S)(NC(=O)COc1c(C)cccc1)Nc1c(F)cccc1,-6.3
S(=O)(=O)(c1cc([N+](=O)[O-])ccc1C)Nc1ccc(I)cc1,-8.0
[nH]1c(=O)n(cc(c1=O)C)CC(=O)N(CCc1nc2c([nH]1)ccc(c2)OC)C,-8.0
c12c(c(=O)[nH]c(n1)N)C(CC(=O)N2)c1ccccc1,-7.3
c1(c(n(nc1C)CC)C)CNC(=O)c1c(onc1)CCC,-7.4
N1(C(=O)c2ccc(OCc3c(F)cccc3)cc2)CC(COCC1)CO,-7.7
N1([C@@H]2[C@](CC1)(CC[C@@H](C2)OCC1CC1)OC)Cc1cc2c(OCCO2)cc1,-7.3
n1(c(n[nH]c1=O)C1CCN(C(=O)[C@H]2NC(=O)CC2)CC1)Cc1ccccc1,-7.8
C1(=C(C(=O)N(C1c1ccc([N+](=O)[O-])cc1)CCC(=O)O)O)C(=O)c1ccc(cc1)Cl,-8.5
[nH]1c(=O)n(ccc1=O)CCC(=O)N1C(CCn2nccc2)CCCC1,-8.3
C(=O)(Nc1c(NC(=O)c2cc(OC)ccc2)ccc(C(=O)O)c1)c1cc(OC)ccc1,-8.5
c1(c(cc(cc1)OC)O)CN1CCC(Cc2ccc(Cl)cc2)(CC1)CO,-7.6
N1(C(=O)CC(C1)C(=O)NCc1cnccc1)c1c(cccc1C)C,-7.7
c12n(nc(c1C(CC(=O)N2)c1ccc(cc1)CC)C)c1nnc(N2CCOCC2)cc1,-8.8
N1(C(=O)CCC(C(=O)N(Cc2nccs2)CCO)C1)CCN(C)C,-6.1
c1(oc(nn1)c1sccc1)c1c(OC)cccc1,-7.2
C1(=O)N(CC2(O1)CCN(CC2)C1CCOC1)CCCN(C1CCCCC1)C,-7.8
N1(C[C@H]([C@H](NC(=O)CCn2nccc2)CC1)O)Cc1ncccc1,-6.9
S(=O)(=O)(c1cc2c(OCCO2)cc1)NCc1occc1,-8.2
S(=O)(=O)(N(CC(=O)N1CCN(C(=O)OCC)CC1)C1CCCCC1)c1ccc(cc1)Cl,-8.7
[N+](=O)(c1cc(c(cc1)Cl)/C=N/NC(=O)c1cc(Cl)ccc1)[O-],-8.0
c1(nc(nc(c1)NCC1(N(CC)C)CCCCC1)C)C1CC(C1)O,-7.7
S(=O)(=O)(c1ccc(NC(=O)C2CCN(C(=O)N(CC)CC)CC2)cc1)NCC,-8.5
N(C(=O)C(c1ccccc1)C)c1c(C(C)C)cccc1C,-7.8
S(=O)(=O)(c1cc(ccc1Cl)Cl)Nc1ccc(S(=O)(=O)NCCCC)cc1,-7.0
[C@@]12([C@H](CN(C1)C(=O)CSc1nc(n[nH]1)CC)c1c(OC2)cccc1)CO,-8.5
n1c(c(sc1CCCNC(=O)C1CN(Cc2occc2)CCC1)C)C,-7.2
c1(c(n(c(c1)C)CC)C)/C=C/1\C(=O)NC(=S)S1,-5.9
C(=O)(NCc1cnccc1)COc1ccc(cc1)C,-7.6
N1(C(=O)C2C(C1=O)C1C=CC2C1)c1cc(ccn1)Cl,-7.5
S(=O)(=O)(N1CCN(c2c(cc(c(c2)C)C(=O)CC)F)CC1)c1ccc(cc1)C,-8.5
C\1(=C/NCCc2ccccc2)/C(=O)N(N=C1c1ccc(cc1)OC)c1ccc([N+](=O)[O-])cc1,-7.5
S(=O)(=O)(c1cc(c(cc1OC)C)OC)N1CCC(CC1)C,-7.4
c12c(n3c(n1)N(Cc1occc1)CCC3)c(=O)n(c(=O)n2C)CC,-8.3
S(=O)(=O)(N(C(C(=O)N(C)C)C)c1cc(F)ccc1)C,-6.3
N1(CC(N(C[C@@H]1C)C)(C)C)Cc1ccc(CCC(O)(C)C)cc1,-7.0
C(=O)(C1(N2CCCC2)CCCC1)N1CCC(CC1)CCC(=O)Nc1ccccc1,-8.2
N1(C(=O)c2[nH]c(cc2)CC)CC(C(O)(C)C)CC1,-7.2
S(=O)(=O)(c1cc(C(=O)Nc2ccc(C(=O)OCC)cc2)ccc1)N(C)C,-8.6
c1(n(c2c(c1)cccc2C)C)C(=O)N1CC(c2nc(no2)C(C)C)CCC1,-8.8
N(C(=S)Nc1cc2c(oc(=O)cc2)cc1)C(=O)c1cc(I)ccc1,-9.4
N1(C(=O)c2cnc(c3cc(CO)ccc3)cc2)CC(C(=O)CC(C)C)CCC1,-8.3
c1(c(c(c(s1)C)C)C(=O)OCC)NC(=O)c1c(F)cccc1,-6.9
c12nc(c3nc4n(c3)cccc4)[nH]c1CC(c1c(OC)cccc1)CNC2=O,-8.2
C(=O)(N(Cc1ncccc1C)C)c1cc(C#CC(O)(C)C)ccc1,-8.2
N1=C(C(=O)N[C@H]2C[C@H](N(C2)C)C(=O)OC)CCC(=O)N1C,-6.9
c1(c2n(nc1)cc(cn2)CCO)C(=O)N1CC(c2ccc(cc2)F)OCC1,-8.4
S(=O)(=O)(c1c(nn(c1C)C)C)N1C[C@@H]2N(C(=O)[C@H](C1)CC2)CCC,-7.3
C(=O)(C(=O)O)O.c1(c(ccc(c1)OCCOCCNCCOC)Cl)C,-5.9
n1(c(=O)[nH]c2c(c1=O)cccc2)CCCC(=O)NCCN1CCOCC1,-7.1
c1(n(ncc1)CCCNC(=O)c1c[nH]nc1)C1CC1,-6.5
c12c(c(nn1C)C)c(C(=O)NCCc1c(OC)cccc1)cc(n2)C,-7.7
C1(C2(OC(=O)C1)CCCC2)C(=O)NCCc1ccccc1,-7.5
C(=O)(NC1CCSC1)c1cc(CCC(O)(C)C)ccc1,-7.2
n1c(onc1C1CC1)C(NC(=O)CSc1ccc(Cl)cc1)C,-8.9
S(=O)(=O)(N1CC(C(=O)NC(CC)(CC)CC)CCC1)N(C)C,-6.3
C(=O)(N1CCN(c2cc(ccc2C)Cl)CC1)Nc1cc(ccc1)C,-7.7
c1(c(cc(cc1OC)NC(=O)NCC1c2c(CCO1)cccc2)OC)OC,-8.1
C(=O)(Nc1ccccc1)Cc1c(C)cccc1,-7.2
C(=O)(c1cscc1)N1CCC(C(=O)OCC)(Cc2c(Cl)cccc2)CC1,-7.1
C(=O)(Nc1c(cc(cc1)F)C)Cc1c(C)cccc1,-7.1
c1(CN2C(=O)CC3(C2)CCN(c2cc(ncn2)OC)CC3)c(onc1C)C,-8.0
c1(C(=O)N2CCN(Cc3cc(F)ccc3)CC2)sc(cc1)Cl,-7.1
c1(sc(nc1C)NC(=O)C1CCCCC1)C(=O)OCC,-7.5
S(=O)(=O)(NCc1ccc(F)cc1)c1ccc(cc1)Cl,-8.4
c1(cc(oc1C)c1ccc(cc1)Cl)C(=O)Nc1ncc(cc1)C,-7.4
S(=O)(=O)(c1cc(C(=O)Nc2cc3c(OCCO3)cc2)c(cc1Cl)Cl)N1CCCCC1,-8.4
S(=O)(=O)(c1c(cc(cc1)F)C)N1CCCCC1,-6.8
n1c([nH]c2c1cccc2C)CN(CCC(=O)Nc1c(F)cccc1)C,-6.5
c1(nc(sc1)C)C(=O)N1CCC2(CN(C(=O)CC2)Cc2ncccc2)CC1,-7.8
C(=O)(Nc1c(c(C(=O)O)ccc1)C)c1ccc(cc1)OC,-8.1
c1(C(=O)N2C[C@@H]([C@H](C2)N)C(C)C)c(nn(c1)CCC)C,-6.7
[nH]1c(=O)c(c[nH]c1=O)CCn1c(c(nc1)c1ccccc1)c1ccc(C(=O)O)cc1,-9.1
[C@@]12([C@H](CN(C1)C(=O)C1CCC1)CN(C2)Cc1c(ccc(c1)C)F)C(=O)O,-8.4
C(=O)(N/N=C/c1cnccc1)c1ccccc1,-7.1
n12c(c(cn2)c2ccccc2)nc(cc1N1CCN(Cc2ccc(Cl)cc2)CC1)C,-7.7
C(=O)(N1CCOCC1)c1cc(NC(=O)C(Oc2ccc(cc2)OC)C)ccc1,-8.5
N1(CCN(C2CCN(CC2)Cc2ccc(cc2)OCC)CC1)c1ccccc1.C(=O)(C(=O)O)O,-7.1
C1(C(C1)(C)C)(C(=O)N(CCCc1n(ccn1)C)C)c1ccc(cc1)OC,-7.1
c1(nc(C(F)(F)F)cc(n1)CC1CN(C(=O)C1)CCOC)N1CCCC1,-7.1
N1(C(=O)C2C(C1=O)C1OC2CC1)c1ccc(C(=O)O)cc1,-8.3
N(C(=O)c1c(cc(cc1)C)C)C(=S)Nc1cc(c(N2CCCC2)cc1)Cl,-7.8
C(=O)(Nc1cc(c(cc1)C)C)CCC(=O)Nc1cc(c(cc1)C)C,-7.7
n1(nc(cc1C)C)Cc1ccc(C(=O)N2CC(N(CC2)C(C)C)CC)cc1,-8.7
c1(nc(no1)CCOC)C1N(Cc2nc(oc2)C(C)C)CCCC1,-6.7
c1(n(nc(c1)C)CCOCC)C(=O)N[C@@H]1[C@H]([C@H]2[C@@H]1CCO2)N(C)C,-7.0
N1(C(=O)c2c(C1=O)cccc2)C(C(=O)Nc1c(c2c(s1)CC(CC2)C)C#N)C,-8.2
C(=O)(CC1OCCNC1)NCc1ccc(CN2CCCC2)cc1,-7.5
c1(C2=NOC(C(=O)Nc3ccc(cc3)OC)C2)c(n(nc1)CC)C,-8.1
c1(c(nns1)C(C)C)CN1C(C(=O)N(CC1)c1ccc(cc1)OC)C,-7.8
C(=O)(N1CCN(c2c(=O)[nH]ccn2)CC1)Nc1cc(C(=O)C)ccc1OCC,-8.1
S(=O)(=O)(c1cc(c(cc1C)OCC)C(C)C)NCc1ccncc1,-7.7
c12c(ncn(c1=O)c1cc(ccc1OC)Cl)sc(c2C)C,-6.6
S(=O)(=O)(Nc1ccc(NC(=O)C)cc1)C,-6.6
N1(C(=O)CN(Cc2cnc(nc2)c2cc(ccc2)C)CC1)C1CCCC1,-7.7
c1(c([nH]nc1)C1CCN(C(=O)[C@H]2NC[C@@H](C2)O)CC1)c1c(C)cccc1,-7.7
C(=O)(N(Cc1c2ncccc2ccc1)C)Cc1ccncc1,-7.8
S(=O)(=O)(N1CCC(C(=O)N2CCCC2)CC1)Cc1cc(Cl)ccc1,-8.3
C(=O)(c1c(nccc1)SC)N1CCN(CC1)C1CCOCC1,-7.4
c12n(c3c(n1)n(c(=O)[nH]c3=O)C)c(c(n2CC(=O)O)C)C,-7.6
n1c(cc(o1)C)N/C=C\C(=O)c1cc(c(cc1)Cl)Cl,-8.2
c1(nc2c(n1CC)cccc2)CCNC(=O)c1cc(ccc1)C,-8.6
n1(c(nnc1SCc1nc(no1)c1ccc(cc1)C)c1ccncc1)c1ccc(cc1)OCC,-8.6
c1(nc2n(c1CNCc1c(cc(cc1)F)F)cccc2)C(=O)N(Cc1ccccc1)C,-7.8
N1(C(=O)CCC(NC(=O)Nc2ccc(c3cc(OC)ccc3)cc2)C1)C,-9.1
c1(C(=O)O/N=C(/c2ccncc2)\N)c(cc(cc1)C)Cl,-7.8
c1(n(ccn1)Cc1ncccc1)C1CN(C(=O)c2nc(ccc2)C)CCC1,-7.6
c1(nc2c(c3c1CCC3)c1c(cc2)cccc1)c1c(ccc(c1)OC)OC,-7.9
n12nc(N3CC(C(=O)Nc4ccc(cc4)OC)CCC3)ccc1nnc2C,-8.2
n1(nc(N2CCSCC2)ccc1=O)CC(=O)NCc1c(Cl)cccc1,-7.7
C(=O)(N1CCC(CC1)(c1cnccc1)O)NCCc1cn(nc1)C,-8.8
c1(c(n[nH]c1)c1ccc(cc1)F)CNC(c1cc(c(cc1)OC)OC)CC,-7.7
C(=O)(N[C@H]1[C@H](OCc2ccccc2)COCC1)c1nc(ccc1)C,-7.0
c1(nc2c(s1)cc(NC(=O)c1c(C)cccc1)cc2)NC(=O)CC,-8.2
c12n(nc(c1)CNS(=O)(=O)C)CCCN(C2)Cc1occc1,-7.4
C1(=C(NC(=O)NC1c1cc(c(cc1)OC)OC)C)C(=O)OCCOCC,-6.7
N1([C@H]2[C@@H]([C@@H](C1)c1cc3c(OCO3)cc1)N1CCC2CC1)C(=O)CCC1(CC1)C,-7.9
C1(=C(C(=O)N(C1c1ccc(cc1)F)CCOC)O)C(=O)c1ccc(S(=O)(=O)N(CC)CC)cc1,-7.8
c12c(c(cc(c1non2)N(C)C)Nc1ccc(SC#N)cc1)[N+](=O)[O-],-8.1
c1(sc(nn1)CCOCC)NC(=O)Cc1ccccc1,-7.2
c1(S(=O)(=O)NC(C)(C)C)sc(nn1)NC(=O)C,-7.2
c1(nc2c(n1CC)cccc2)SCC(=O)N/N=C/c1c2c(cc3c1cccc3)cccc2,-7.8
C(=S)(N1CCN(c2ccc([N+](=O)[O-])cc2)CC1)Nc1c(cc(cc1)Cl)Cl,-7.7
n1(c(=O)n(c2c1ncc(c2)C(=O)O)CC(=O)Nc1nn(cc1)C)CC(C)C,-7.7
S(=O)(=O)(N(c1cc(ccc1Cl)Cl)CC(=O)NCc1ncccc1)c1ccccc1,-8.7
c1(C(=O)N(Cc2noc3c2CCCC3)C)cc(no1)CC(C)C,-7.7
S(=O)(=O)(N(CC(=O)Nc1c(Cl)cccc1)c1c(CC)cccc1)c1ccccc1,-9.0
n1(nnc(c1C)C(=O)Nc1ccc(N2CCN(CC2)C)cc1)c1c(ccc(c1)C)C,-5.1
S(=O)(=O)(c1ccc(NC(=S)NNC(=O)CCC(=O)Nc2c(Cl)cccc2)cc1)N,-7.4
C(=O)(N/N=C\c1cc2c(cc1)cccc2)CNc1ccc(cc1)C,-9.0
c1(nc(cc(n1)C)NC)N1CC(N(Cc2ccc(cc2)C)CC1)CCO,-7.6
C1(C(=O)O)(CCN(c2ncccn2)CC1)Oc1ccc(Cl)cc1,-8.3
S(=O)(=O)(N(CC(=O)Nc1cc(C(=O)OC)ccc1Cl)c1cc(C(=O)C)ccc1)C,-7.5
c1(c(cc(cc1OC)CN(Cc1ccncc1)CCCn1cncc1)Cl)O,-6.2
C(=O)(N1CCC(CN2CCOCC2)CC1)C(c1ccc(cc1)F)N(C)C,-7.6
N(C(=O)C1CCN(C(=O)C)CC1)c1c(cccc1CC)C,-7.1
n1n2c(cc1CN(Cc1nc3c([nH]1)cc(cc3)F)C)CNCC2,-7.7
C1(=C(NC(=C(C1c1ccc(cc1)CC)C(=O)C)C)SCC(=O)c1cc([N+](=O)[O-])ccc1)C#N,-7.2
n1(c(nnc1Cn1cncc1)C1CN(C(=O)c2ccc(cc2)OC)CCC1)C,-8.0
C(=O)(NC1(C(=O)N)CCCC1)c1cc(OCCN)ccc1,-7.3
c1([nH]c(=O)c2c(n1)cccc2)C(=O)N1CCC(c2nc(n[nH]2)C)CC1,-9.3
C12(OC(=O)C(C1(C)C)(CC2)C)C(=O)Oc1cc(c(cc1)C)C,-8.9
c1(C(=O)N2CC(NC(=O)C)CC2)oc2c(c1C)ccc(c2)OC,-7.9
c1(c2c(oc(=O)c1)cc(cc2OCC(=O)N1Cc2c(CC1)cccc2)C)c1ccccc1,-9.3
c12n(c(cc(n2)C)NCC2OCCC2)ncc1c1ccc(cc1)Cl,-8.9
n1oc(cc1C)CC(=O)NCC(N1CCCCC1)c1ccccc1,-7.3
C(=O)(N1CC(NCC1)c1ccccc1)Nc1cc(C(=O)OCC)c(cc1)Cl,-8.1
c1(C(=O)N2CC(OCCC2)C)c2c(nc(c1)c1occc1)c(Cl)ccc2,-7.6
n1(c(=O)c2c(nc1/C=C/c1ccc(cc1)O)cccc2)c1c([N+](=O)[O-])cccc1,-9.2
c1(c(c(OC)ccc1)OC)C1CN(Cc2ccncc2)CC1,-7.3
c1(nc2c(n1C)cccc2)CNC(=O)c1c(N2CCCC2)cccc1,-7.8
n1c(noc1CN(CC(=O)NC1CCCCCCC1)C)c1cnccc1,-7.2
C\1(=C/2\C(=O)NC(=S)S2)/C(=O)Nc2c1ccc(c2C)Cl,-8.2
N1(Cc2cnc(nc2)c2ncccc2)C(CCNC(=O)C)CCCC1,-7.5
