x,y_smooth
0,11043.113611137604
1,11058.977600644212
2,11109.076077084523
3,11153.872364038403
4,11195.86812632273
5,11223.845726968473
6,11335.15144788461
7,11364.552416505334
8,11379.18706487583
9,11520.59025325236
10,11526.55292099527
11,11564.396226413486
12,11585.721723336093
13,11628.805266873575
14,11663.067500755116
15,11736.362324688107
16,11713.967813538884
17,11735.892846330726
18,11835.172535564898
19,11900.784784581134
20,11894.483503176632
21,11936.539400664267
22,12011.835233577183
23,12177.595197253882
24,12182.596004437819
25,12134.937241447209
26,12230.931389363654
27,12475.602159215297
28,12585.659368376822
29,12599.454949044764
30,12574.989910199041
31,12649.399858741055
32,12710.969427906619
33,12694.976692562053
34,12612.771062454107
35,12606.711734434737
36,12569.265260819568
37,12484.297951769027
38,12352.76299061477
39,12312.120774894871
40,12223.411663806193
41,12135.292805971476
42,11935.122490160787
43,11750.168802339203
44,11567.08283724993
45,11456.880133183759
46,11313.218545049382
47,11177.313792753972
48,11064.717889212468
49,10854.456058922919
50,10675.548481483736
51,10587.38361416461
52,10444.677832709678
53,10274.022197556842
54,10110.152860456672
55,9962.198163655159
56,9821.92634446438
57,9677.501463019542
58,9505.589647864686
59,9318.930783976104
60,9147.526485721663
61,9020.615679546723
62,8860.112602157986
63,8751.322873573601
64,8607.876601754428
65,8478.661184541248
66,8367.950761778678
67,8282.00332963259
68,8268.050448994916
69,8309.304207445117
70,8279.994147915306
71,8224.611542729157
72,8165.08213096446
73,8123.9201896870945
74,8114.754817877997
75,8113.053375036709
76,7995.68267581364
77,7920.2884673583985
78,7895.91312682768
79,7839.254565633055
80,7759.35849056496
81,7731.475027745873
82,7668.473816969978
83,7647.5774392078965
84,7573.379073755379
85,7521.007466450373
86,7491.884270001987
87,7505.466955906535
88,7458.690949449069
89,7420.709010189666
90,7389.89082837149
91,7398.583997577421
92,7344.900615476731
93,7317.496216324278
94,7260.684592875593
95,7224.006558368485
96,7190.573705982252
97,7088.657350417742
98,7043.461709211008
99,6996.160024214547
100,6910.061951366207
101,6845.414287154736
102,6831.6317223277765
103,6812.823024920857
104,6765.5144788609305
105,6730.349308847819
106,6721.287761072619
107,6725.211381292578
108,6687.945313287335
109,6700.676521036301
110,6694.1381293502955
111,6678.6284935920485
112,6684.558268589526
113,6687.38462314507
114,6711.436989202983
115,6768.483704973331
116,6795.550600342108
117,6853.44062153068
118,6939.525375844058
119,7004.386943798845
120,7042.492079506639
121,7001.526990211923
122,6965.769044495048
123,6968.007062858482
124,6948.462617292952
125,6874.781152254114
126,6838.2174351720905
127,6757.975784480949
128,6686.906568458358
129,6671.128342245062
130,6673.928866914622
131,6647.72586015446
132,6621.075471697195
133,6607.020482291486
134,6576.860155381995
135,6545.237816566541
136,6482.652507314204
137,6448.066189081941
138,6441.416607808611
139,6425.529916253774
140,6384.495711834448
141,6291.7054787601
142,6214.681465037983
143,6134.630612449961
144,6066.293613156255
145,5998.217334274214
146,5862.817778225398
147,5723.2534557554345
148,5647.5174049028565
149,5521.448188880274
150,5449.466754110835
151,5343.224901623715
152,5229.612450811503
153,5171.489557057095
154,5150.430329935718
155,5134.391887800719
156,5138.0315810708225
157,5154.5148824531225
158,5209.556250629888
159,5234.148521843689
160,5267.308142467233
161,5300.1773786694275
162,5297.62748461232
163,5282.574311370469
164,5309.510644737432
165,5318.57602663633
166,5333.895873271381
167,5330.792755523425
168,5307.448188880304
169,5316.564927857196
170,5316.310059529077
171,5271.852386236782
172,5234.483503177558
173,5237.952376146986
174,5278.211280394786
175,5286.480274441804
176,5319.321965492147
177,5337.371708202265
178,5425.462213701193
179,5540.29795176999
180,5640.922913933229
181,5748.800423770768
182,5828.881041266469
183,5893.290989808484
184,5979.227222277446
185,6045.052366057075
186,6126.233982442897
187,6153.285944908841
188,6195.906265764451
189,6247.367167792493
190,6291.249117141696
191,6298.067399857869
192,6310.198466349642
193,6302.732418523996
194,6311.91887801345
195,6367.948441125138
196,6412.066693571907
197,6422.9290687106395
198,6456.6580567037745
199,6484.714458681371
200,6515.663706991326
201,6534.01503379992
202,6562.246090201894
203,6565.406921601349
204,6615.551205730087
205,6692.525476742085
206,6739.892947229415
207,6765.549187770224
208,6721.693774592953
209,6716.582080515664
210,6706.988194933991
211,6668.0281505388775
212,6653.948542023089
213,6623.825244676712
214,6557.665119563209
215,6509.554535363842
216,6480.875088284843
217,6465.988699423982
218,6446.810917161852
219,6401.963676721944
220,6417.278478457387
221,6396.013318534073
222,6358.653919886112
223,6333.3944102503565
224,6337.348602561928
225,6362.986378770178
226,6376.358187871176
227,6365.567853898823
228,6376.989809301909
229,6395.530319845745
230,6428.748461304727
231,6425.777519926461
232,6397.541822216849
233,6369.227020481407
234,6411.018262535686
235,6459.7970941369285
236,6460.391383310575
237,6433.728483502285
238,6416.480173543656
239,6361.716073049262
240,6378.889516697733
241,6390.82040157312
242,6409.048733729309
243,6435.637877105351
244,6457.535263847352
245,6473.344566642224
246,6494.583795781561
247,6546.888507717787
248,6560.978105134796
249,6583.38623751296
250,6638.135506002508
251,6643.202502269283
252,6633.813036019661
253,6614.265159922399
254,6567.147815557559
255,6508.124205427406
256,6459.378468367583
257,6407.607002319763
258,6369.4306326295255
259,6334.58884068119
260,6291.884774492114
261,6313.991221873808
262,6299.964483905895
263,6304.2344869328335
264,6302.969125213533
265,6296.64635253671
266,6264.941781857671
267,6287.943598021526
268,6289.779436988331
269,6284.082030066728
270,6278.177378669293
271,6229.915144787753
272,6225.352133991669
273,6196.010997880281
274,6171.834829986026
275,6208.412874582931
276,6232.9326001403915
277,6253.998284733264
278,6266.316315204456
279,6279.2683886581935
280,6297.75481787825
281,6343.754414286274
282,6340.097971949476
283,6340.8684290173815
284,6383.519120168623
285,6460.038643930088
286,6565.072343859445
287,6569.7742911906935
288,6557.999697305113
289,6577.273332659766
290,6605.702048228323
291,6662.869034405288
292,6719.329532841364
293,6732.338411864668
294,6735.5548380577875
295,6710.526485722003
296,6689.281808091091
297,6694.585309251415
298,6670.413177276847
299,6646.296841891923
300,6594.0820300666865
301,6536.960548884168
302,6502.890828371612
303,6409.0019170609585
304,6347.38855816681
305,6270.592876600885
306,6199.886792451969
307,6139.565936837003
308,6119.437897284994
309,6139.49379477263
310,6139.9267480568615
311,6115.629401674057
312,6097.973262031239
313,6076.164362828335
314,6057.654323478122
315,6059.56523055107
316,6009.851780848725
317,5959.12541620339
318,5928.970033295513
319,5894.250529713639
320,5863.476743012
321,5855.981132074659
322,5834.141862576124
323,5778.087478558374
324,5749.403793763705
325,5761.055191200896
326,5751.684794671786
327,5785.287155684799
328,5761.879628694588
329,5772.219554030072
